Character,Attack,Combo Rate,Total Occurrences
Peach,Beam Sword Tilt Swing,0.0,11
Yoshi,Side Special,0.0,385
Zelda,Get Up Attack (From Front),0.0,8
Link,Side Tilt,0.0,177
Fox,Pummel,0.0,31554
Peach,Beam Sword Jab,0.0,18
Ganondorf,Nair,0.0,1526
Bowser,Side Tilt,0.0,994
YoungLink,Get Up Attack (From Front),0.0,153
Pikachu,Dash Attack,0.0,504
Ganondorf,Ledge Get Up Attack 100%+,0.0,91
Link,Forward Throw,0.0,70
Kirby,Kirby Hat: Sheik Neutral Special,0.0,9
Luigi,Side Smash,0.0,578
GameAndWatch,Grab,0.0,1
Yoshi,Down Tilt,0.0,6131
Mewtwo,Side Smash,0.0,103
Link,Ledge Get Up Attack 100%+,0.0,40
Link,Get Up Attack (From Front),0.0,162
Zelda,Pummel,0.0,117
Pikachu,Ledge Get Up Attack 100%+,0.0,16
Yoshi,Get Up Attack (From Back),0.0,213
Mewtwo,Taunt/Item Throw,0.0,33
Zelda,Back Throw,0.0,139
Ness,Ledge Get Up Attack 100%+,0.0,29
Pichu,Get Up Attack (From Back),0.0,22
DonkeyKong,Side Special,0.0,21
Kirby,Up Throw,0.0,289
Ness,Get Up Attack (From Back),0.0,143
Luigi,Pummel,0.0,2062
Bowser,Up Throw,0.0,419
Mario,Down Tilt,0.0,17
DrMario,Side Special,0.0,348
Ness,Jab 3,0.0,365
Pikachu,Grab,0.0,9
GameAndWatch,Ledge Get Up Attack,0.0,37
Falco,Kirby Hat: Falco Neutral Special,0.0,4
CaptainFalcon,Forward Throw,0.0,3953
Mario,Side Special,0.0,75
YoungLink,Jab 3,0.0,22
DonkeyKong,Cargo Forward Throw,0.0,138
GameAndWatch,Taunt/Item Throw,0.0,8
Kirby,Back Throw,0.0,216
Mario,Forward Throw,0.0,225
Marth,Pummel,0.0,72258
Yoshi,Ledge Get Up Attack 100%+,0.0,31
Mewtwo,Get Up Attack (From Back),0.0,591
Pichu,Taunt/Item Throw,0.0,12
Kirby,Down Smash,0.0,217
Zelda,Up Tilt,0.0,16
Bowser,Taunt/Item Throw,0.0,10
DonkeyKong,Jab 1,0.0,221
Mewtwo,Pummel,0.0,5797
CaptainFalcon,Back Throw,0.0,1264
Mewtwo,Rapid Jabs,0.0,27
DrMario,Grab,0.0,21
Zelda,Dair,0.0,36
Yoshi,Pummel,0.0,121
Marth,Beam Sword Smash Swing,0.0,1
Mario,Side Tilt,0.0,239
CaptainFalcon,Beam Sword Dash Swing,0.0,1
Peach,Pummel,0.0,28285
Pikachu,Side Smash,0.0,735
Kirby,Pummel,0.0,199
GameAndWatch,Back Throw,0.0,875
Zelda,Down Smash,0.0,1043
Luigi,Back Throw,0.0,591
Zelda,Neutral Special,0.0,508
Pikachu,Pummel,0.0,1664
Mario,Get Up Attack (From Back),0.0,63
Jigglypuff,Pummel,0.0,2723
Bowser,Get Up Attack (From Front),0.0,233
DrMario,Taunt/Item Throw,0.0,171
Kirby,Kirby Hat: Mario Neutral Special,0.0,1
Kirby,Get Up Attack (From Front),0.0,10
Ness,Side Smash,0.0,2043
Ness,Ledge Get Up Attack,0.0,212
Bowser,Grab,0.0,1
Peach,Beam Sword Dash Swing,0.0,37
Kirby,Uair,0.0,420
Sheik,Grab,0.0,82
Luigi,Ledge Get Up Attack 100%+,0.0,50
Kirby,Grab,0.0,1
Ganondorf,Get Up Attack (From Back),0.0,513
Bowser,Ledge Get Up Attack,0.0,1263
Roy,Down Special,0.0,655
Roy,Get Up Attack (From Front),0.0,26
DrMario,Down Tilt,0.0,123
YoungLink,Dash Attack,0.0,1716
DonkeyKong,Get Up Attack (From Front),0.0,125
Peach,Grab,0.0,49
YoungLink,Grab,0.0,21
DonkeyKong,Pummel,0.0,1615
YoungLink,Rapid Jabs,0.0,36
Yoshi,Grab,0.0,12
Fox,Down Smash,0.0,7148
Zelda,Side Special,0.0,29
Peach,Get Up Attack (From Front),0.0,273
Roy,Side Smash,0.0,3271
Samus,Back Throw,0.0,606
CaptainFalcon,Grab,0.0,83
CaptainFalcon,Pummel,0.0,38029
Jigglypuff,Get Up Attack (From Front),0.0,148
Mario,Down Special,0.0,15
Roy,Get Up Attack (From Back),0.0,411
YoungLink,Ledge Get Up Attack 100%+,0.0,6
Pichu,Grab,0.0,3
Luigi,Up Special,0.0,2050
Marth,Get Up Attack (From Front),0.0,401
Bowser,Side Smash,0.0,189
Bowser,Neutral Special,0.0,2686
DrMario,Jab 3,0.0,120
Pikachu,Taunt/Item Throw,0.0,209
Zelda,Side Tilt,0.0,46
Mario,Pummel,0.0,3023
Ganondorf,Side Smash,0.0,434
Ness,Neutral Special,0.0,179
GameAndWatch,Pummel,0.0,2014
DrMario,Get Up Attack (From Front),0.0,110
GameAndWatch,Get Up Attack (From Back),0.0,355
Peach,Ledge Get Up Attack 100%+,0.0,345
Link,Jab 3,0.0,303
CaptainFalcon,Up Special,0.0,4409
Pikachu,Get Up Attack (From Back),0.0,317
YoungLink,Back Throw,0.0,120
Fox,Grab,0.0,151
Jigglypuff,Forward Throw,0.0,10648
Pichu,Side Smash,0.0,152
Kirby,Neutral Special,0.0,63
Mario,Get Up Attack (From Front),0.0,38
Sheik,Back Throw,0.0,8424
Yoshi,Side Smash,0.0,2482
Luigi,Grab,0.0,22
Kirby,Side Special,0.0,15
Marth,Get Up Attack (From Back),0.0,4108
Fox,Ledge Get Up Attack,0.0,2974
Falco,Pummel,0.0,10666
DrMario,Pummel,0.0,7519
Ness,Forward Throw,0.0,1029
Zelda,Uair,0.0,82
Mario,Back Throw,0.0,412
Sheik,Get Up Attack (From Back),0.0,1615
Sheik,Ledge Get Up Attack 100%+,0.0,67
Bowser,Back Throw,0.0,548
Yoshi,Forward Throw,0.0,35
Sheik,Beam Sword Smash Swing,0.0,1
Sheik,Beam Sword Tilt Swing,0.0,1
Samus,Jab 2,0.0,1280
Mewtwo,Grab,0.0,7
Samus,Grab,0.0,30
Sheik,Down Special,0.0,5
Ness,Get Up Attack (From Front),0.0,52
Kirby,Side Tilt,0.0,579
Samus,Ledge Get Up Attack 100%+,0.0,172
Jigglypuff,Down Special,0.0,10773
Mario,Ledge Get Up Attack 100%+,0.0,12
DonkeyKong,Ledge Get Up Attack 100%+,0.0,37
Mewtwo,Down Smash,0.0,600
DrMario,Beam Sword Dash Swing,0.0,1
Roy,Ledge Get Up Attack,0.0,88
DrMario,Ledge Get Up Attack,0.0,193
YoungLink,Pummel,0.0,1678
Pikachu,Side Special,0.0,64
