Character,Attack,Combo Rate,Total Occurrences
YoungLink,Uair,0.022888056595921764,4806
Mewtwo,Neutral Special,0.021921737348903913,4881
Falco,Jab 1,0.02172423916234465,40876
Zelda,Up Throw,0.02158273381294964,139
Falco,Nair,0.02149045457611765,103767
Popo,Down Throw,0.021427252016501447,32482
Bowser,Dash Attack,0.02127659574468085,611
Fox,Up Special,0.02116723184008567,28015
Fox,Side Special,0.0211141648126336,22923
Yoshi,Up Smash,0.020600858369098713,1165
Popo,Neutral Special,0.02033060991829755,10526
Ness,Taunt/Item Throw,0.02,50
Pikachu,Down Throw,0.019793459552495698,1162
Bowser,Jab 1,0.019230769230769232,104
Ganondorf,Down Tilt,0.019184652278177457,2502
Samus,Fair,0.018819855358316897,24336
Roy,Dair,0.018505338078291814,1405
Mewtwo,Up Throw,0.018140589569160998,3087
Fox,Down Tilt,0.018086816720257234,24880
Peach,Dash Attack,0.018072545022086307,47088
Marth,Down Throw,0.01804249603126145,32756
Link,Down Smash,0.017787157069641242,3317
Sheik,Side Special,0.017712177121771217,1355
Falco,Neutral Special,0.01748061203102075,477100
Pikachu,Jab 1,0.017280813214739517,3935
Kirby,Rapid Jabs,0.017241379310344827,58
Sheik,Neutral Special,0.017049003224118432,59241
YoungLink,Up Smash,0.01694915254237288,236
Yoshi,Taunt/Item Throw,0.01694915254237288,59
Mario,Uair,0.01676933607118412,5844
Peach,Side Tilt,0.016763378465506126,1551
Roy,Side Special,0.016728926425207083,12314
Pichu,Up Tilt,0.016483516483516484,182
Peach,Taunt/Item Throw,0.01616051028179741,42016
DonkeyKong,Down Throw,0.016129032258064516,62
Pikachu,Up Smash,0.01602151795111683,8551
Peach,Up Special,0.01588089330024814,10075
Fox,Nair,0.015243576074436608,233541
YoungLink,Side Special,0.015047371354263421,5383
Popo,Jab 2,0.015025041736227046,599
Mewtwo,Jab 1,0.015,200
Marth,Up Smash,0.0149812734082397,1602
Samus,Jab 1,0.014953779227841218,7356
Sheik,Up Special,0.014930555555555556,5760
DrMario,Uair,0.01489417298144761,11481
Marth,Forward Throw,0.01476647744354254,56547
Link,Up Smash,0.014752370916754479,949
Zelda,Dash Attack,0.014685314685314685,1430
DrMario,Up Smash,0.014629049111807733,957
Jigglypuff,Taunt/Item Throw,0.014492753623188406,138
Link,Neutral Special,0.014492753623188406,345
Marth,Side Special,0.014467791939373063,26127
Pichu,Jab 1,0.014423076923076924,208
GameAndWatch,Up Special,0.014385150812064965,2155
Ness,Side Special,0.01414656771799629,4312
Falco,Up Special,0.014037750165986912,10543
Luigi,Jab 3,0.013888888888888888,2088
YoungLink,Jab 2,0.013793103448275862,145
Kirby,Jab 1,0.013605442176870748,147
DrMario,Jab 2,0.01358695652173913,368
Zelda,Up Smash,0.013333333333333334,375
Bowser,Down Smash,0.013201320132013201,303
Marth,Taunt/Item Throw,0.013059701492537313,536
GameAndWatch,Up Smash,0.012987012987012988,77
Roy,Fair,0.012976480129764802,2466
GameAndWatch,Down Smash,0.012903225806451613,155
Fox,Fair,0.012769744160177976,22475
Mario,Jab 3,0.012549019607843137,1275
Ganondorf,Up Smash,0.012514220705346985,879
Popo,Up Tilt,0.012333965844402278,1054
Samus,Uair,0.012252820575033362,8243
Yoshi,Side Tilt,0.012146892655367232,3540
Popo,Uair,0.012146114597913938,22147
Bowser,Up Tilt,0.01195814648729447,669
Zelda,Down Throw,0.011904761904761904,84
Peach,Up Smash,0.011794439764111205,1187
DrMario,Neutral Special,0.011673151750972763,13621
Yoshi,Neutral Special,0.011258955987717503,977
Pichu,Down Throw,0.011111111111111112,90
DrMario,Up Throw,0.011046672190002762,3621
Pichu,Down Tilt,0.010638297872340425,94
Jigglypuff,Jab 1,0.010452961672473868,1722
Fox,Up Smash,0.010375071620609105,113445
Link,Down Special,0.010309278350515464,97
Samus,Down Special,0.010304279306582616,8249
Peach,Jab 2,0.01023308698123934,8795
Pikachu,Back Throw,0.009993337774816789,3002
Falco,Up Smash,0.009979076130693708,6213
Ness,Up Smash,0.009708737864077669,309
Ganondorf,Taunt/Item Throw,0.009615384615384616,104
Peach,Bair,0.009588501304111234,53293
YoungLink,Taunt/Item Throw,0.009460547504025765,9936
YoungLink,Bair,0.009428403064230996,3394
Jigglypuff,Side Special,0.009347382732834806,17652
Popo,Down Tilt,0.00911854103343465,329
Link,Fair,0.008977759640889614,4901
Peach,Side Smash,0.008902077151335312,2022
Popo,Nair,0.0088008800880088,1818
GameAndWatch,Fair,0.008740421455938696,16704
Falco,Uair,0.008701535016096674,42866
Link,Jab 2,0.008629441624365483,1970
CaptainFalcon,Jab 1,0.008607371441182963,31717
Link,Side Special,0.008596868283696654,6514
Mario,Bair,0.008497932935231971,4354
YoungLink,Fair,0.008441193021947102,1777
Pichu,Up Smash,0.008310249307479225,361
Link,Bair,0.008181818181818182,3300
Popo,Side Tilt,0.00803059273422562,2615
Peach,Side Special,0.008,125
Pikachu,Dair,0.007949449653485529,4906
Popo,Get Up Attack (From Back),0.007707129094412331,1038
CaptainFalcon,Uair,0.007700216813071369,89478
Marth,Fair,0.00768654161954652,230793
Popo,Side Smash,0.007653812187224021,6794
Roy,Bair,0.007462686567164179,804
DonkeyKong,Dash Attack,0.007407407407407408,135
