Start x,Start y,End x,End y,Start Move,End Move,Comboer Character,Comboee Character,Start %,End %,Frames Between Moves,Stage
-70.73477,-38.957687,-69.69313,-36.35081,20,20,1,18,49.091774,52.911774,8,2
-69.69313,-36.35081,-67.59845,-31.105715,20,20,1,18,51.091774,56.551773,9,2
-67.59845,-31.105715,-66.54497,-28.466286,20,20,1,18,54.731773,58.371773,4,2
-66.54497,-28.466286,-64.66838,-20.350481,20,20,1,18,56.551773,71.11177,23,2
35.216377,0.002875,36.54992,0.002875,17,11,1,18,98.85177,119.58177,27,2
-15.298663,22.300102,-20.218891,22.698917,13,13,18,1,81.7,94.799995,18,2
